RK,TEAM,GP,AB,R,H,2B,3B,HR,TB,RBI,AVG,OBP,SLG,OPS,YEAR
20,Pittsburgh,162,5486,634,1346,273,35,161,2172,603,0.245,0.313,0.396,0.709,2013
21,San Francisco,162,5552,629,1446,280,35,107,2117,596,0.26,0.32,0.381,0.702,2013
22,Seattle,162,5558,624,1318,249,17,188,2165,597,0.237,0.306,0.39,0.695,2013
23,NY Mets,162,5559,619,1318,263,32,130,2035,593,0.237,0.306,0.366,0.672,2013
24,San Diego,162,5517,618,1349,246,26,146,2085,578,0.245,0.308,0.378,0.686,2013
25,Minnesota,162,5564,614,1346,285,15,151,2114,590,0.242,0.312,0.38,0.692,2013
26,Houston,162,5457,610,1307,266,16,148,2049,566,0.24,0.299,0.375,0.674,2013
27,Philadelphia,162,5456,610,1355,255,32,140,2094,578,0.248,0.306,0.384,0.69,2013
28,Chicago Cubs,162,5498,602,1307,297,18,172,2156,576,0.238,0.3,0.392,0.693,2013
29,Chicago Sox,162,5563,598,1385,237,19,148,2104,574,0.249,0.302,0.378,0.68,2013
30,Miami,162,5449,513,1257,219,31,95,1823,485,0.231,0.293,0.335,0.627,2013
1,LA Angels,162,5652,773,1464,304,31,155,2295,729,0.259,0.322,0.406,0.728,2014
2,Detroit,162,5630,757,1557,325,26,155,2399,731,0.277,0.331,0.426,0.757,2014
3,Colorado,162,5612,755,1551,307,41,186,2498,721,0.276,0.327,0.445,0.772,2014
4,Oakland,162,5545,729,1354,253,33,146,2111,686,0.244,0.32,0.381,0.7,2014
5,Toronto,162,5549,723,1435,282,24,177,2296,690,0.259,0.323,0.414,0.736,2014
6,LA Dodgers,162,5560,718,1476,302,38,134,2256,686,0.265,0.333,0.406,0.738,2014
7,Minnesota,162,5567,715,1412,316,27,128,2166,675,0.254,0.324,0.389,0.713,2014
8,Baltimore,162,5596,705,1434,264,16,211,2363,681,0.256,0.311,0.422,0.734,2014
9,Washington,162,5542,686,1403,265,27,152,2178,635,0.253,0.321,0.393,0.714,2014
10,Pittsburgh,162,5536,682,1436,275,30,156,2239,659,0.259,0.33,0.404,0.734,2014
11,Cleveland,162,5575,669,1411,284,23,142,2167,644,0.253,0.317,0.389,0.706,2014
12,San Francisco,162,5523,665,1407,257,42,132,2144,636,0.255,0.311,0.388,0.699,2014
13,Chicago Sox,162,5543,660,1400,279,32,155,2208,625,0.253,0.31,0.398,0.708,2014
14,Kansas City,162,5545,651,1456,286,29,95,2085,604,0.263,0.314,0.376,0.69,2014
15,Milwaukee,162,5462,650,1366,297,28,150,2169,617,0.25,0.311,0.397,0.708,2014
16,Miami,162,5538,645,1399,254,36,122,2091,614,0.253,0.317,0.378,0.694,2014
17,Texas,162,5460,637,1400,260,28,111,2049,597,0.256,0.314,0.375,0.689,2014
18,Boston,162,5551,634,1355,282,20,123,2046,601,0.244,0.316,0.369,0.684,2014
19,Seattle,162,5450,634,1328,247,32,136,2047,600,0.244,0.3,0.376,0.676,2014
20,NY Yankees,162,5497,633,1349,247,26,147,2089,591,0.245,0.307,0.38,0.687,2014
21,Houston,162,5447,629,1317,240,19,163,2084,596,0.242,0.309,0.383,0.692,2014
22,NY Mets,162,5472,629,1306,275,19,125,1994,602,0.239,0.308,0.364,0.673,2014
23,Philadelphia,162,5603,619,1356,251,27,125,2036,584,0.242,0.302,0.363,0.665,2014
24,St. Louis,162,5426,619,1371,275,21,105,2003,585,0.253,0.32,0.369,0.689,2014
25,Arizona,162,5552,615,1379,259,47,118,2086,573,0.248,0.302,0.376,0.678,2014
26,Chicago Cubs,162,5508,614,1315,270,31,157,2118,590,0.239,0.3,0.385,0.684,2014
27,Tampa Bay,162,5516,612,1361,263,24,117,2023,586,0.247,0.317,0.367,0.684,2014
28,Cincinnati,162,5395,595,1282,254,20,131,1969,562,0.238,0.296,0.365,0.661,2014
29,Atlanta,162,5468,573,1316,240,22,123,1969,545,0.241,0.305,0.36,0.665,2014
30,San Diego,162,5294,535,1199,224,30,109,1810,500,0.226,0.292,0.342,0.634,2014
1,Toronto,162,5509,891,1480,308,17,232,2518,852,0.269,0.34,0.457,0.797,2015
2,NY Yankees,162,5567,764,1397,272,19,212,2343,737,0.251,0.323,0.421,0.744,2015
3,Texas,162,5511,751,1419,279,32,172,2278,707,0.257,0.325,0.413,0.739,2015
4,Boston,162,5640,748,1496,294,33,161,2339,706,0.265,0.325,0.415,0.74,2015
5,Colorado,162,5572,737,1479,274,49,186,2409,702,0.265,0.315,0.432,0.748,2015
6,Houston,162,5459,729,1363,278,26,230,2383,691,0.25,0.315,0.437,0.752,2015
7,Kansas City,162,5575,724,1497,300,42,139,2298,689,0.269,0.322,0.412,0.734,2015
8,Arizona,162,5649,720,1494,289,48,154,2341,680,0.264,0.324,0.414,0.738,2015
9,Baltimore,162,5485,713,1370,246,20,217,2307,686,0.25,0.307,0.421,0.728,2015
10,Washington,162,5428,703,1363,265,13,177,2185,665,0.251,0.321,0.403,0.724,2015
11,Pittsburgh,162,5631,697,1462,292,27,140,2228,661,0.26,0.323,0.396,0.719,2015
12,Minnesota,162,5467,696,1349,277,44,156,2182,661,0.247,0.305,0.399,0.704,2015
13,San Francisco,162,5565,696,1486,288,39,136,2260,663,0.267,0.326,0.406,0.732,2015
14,Oakland,162,5600,694,1405,277,46,146,2212,661,0.251,0.312,0.395,0.707,2015
15,Detroit,161,5605,689,1515,289,49,151,2355,660,0.27,0.328,0.42,0.748,2015
16,Chicago Cubs,162,5491,689,1341,272,30,171,2186,657,0.244,0.321,0.398,0.719,2015
17,NY Mets,162,5527,683,1351,295,17,177,2211,654,0.244,0.312,0.4,0.712,2015
18,Cleveland,161,5439,669,1395,303,29,141,2179,640,0.256,0.325,0.401,0.725,2015
19,LA Dodgers,162,5385,667,1346,263,26,187,2222,638,0.25,0.326,0.413,0.739,2015
20,LA Angels,162,5417,661,1331,243,21,176,2144,621,0.246,0.307,0.396,0.702,2015
21,Seattle,162,5544,656,1379,262,22,198,2279,624,0.249,0.311,0.411,0.722,2015
22,Milwaukee,162,5480,655,1378,274,34,145,2155,624,0.251,0.307,0.393,0.7,2015
23,San Diego,162,5457,650,1324,260,36,148,2100,623,0.243,0.3,0.385,0.685,2015
24,St. Louis,162,5484,647,1386,288,39,137,2163,619,0.253,0.321,0.394,0.716,2015
25,Tampa Bay,162,5485,644,1383,278,32,167,2226,612,0.252,0.314,0.406,0.72,2015
26,Cincinnati,162,5571,640,1382,257,27,167,2194,613,0.248,0.312,0.394,0.706,2015
27,Philadelphia,162,5529,626,1374,272,37,130,2110,586,0.249,0.303,0.382,0.684,2015
28,Chicago Sox,162,5533,622,1381,260,27,136,2103,595,0.25,0.306,0.38,0.686,2015
29,Miami,162,5463,613,1420,236,40,120,2096,575,0.26,0.31,0.384,0.694,2015
30,Atlanta,162,5420,573,1361,251,18,100,1948,548,0.251,0.314,0.359,0.674,2015
1,Boston,162,5670,878,1598,343,25,208,2615,836,0.282,0.348,0.461,0.81,2016
2,Colorado,162,5614,845,1544,318,47,204,2568,805,0.275,0.336,0.457,0.794,2016
3,Chicago Cubs,162,5503,808,1409,293,30,199,2359,767,0.256,0.343,0.429,0.772,2016
4,St. Louis,162,5548,779,1416,300,32,225,2455,745,0.255,0.325,0.443,0.768,2016
5,Cleveland,161,5484,777,1435,308,29,185,2356,733,0.262,0.329,0.43,0.759,2016
6,Seattle,162,5583,768,1446,251,17,223,2400,735,0.259,0.326,0.43,0.756,2016
7,Texas,162,5525,765,1446,257,23,215,2394,746,0.262,0.322,0.433,0.755,2016
8,Washington,162,5490,763,1403,268,29,203,2338,735,0.256,0.326,0.426,0.751,2016
9,Toronto,162,5479,759,1358,276,18,221,2333,728,0.248,0.33,0.426,0.755,2016
10,Arizona,162,5665,752,1479,285,56,190,2446,709,0.261,0.32,0.432,0.752,2016
11,Detroit,161,5526,750,1476,252,30,211,2421,719,0.267,0.331,0.438,0.769,2016
12,Baltimore,162,5524,744,1413,265,6,253,2449,710,0.256,0.317,0.443,0.76,2016
13,Pittsburgh,162,5542,729,1426,277,32,153,2226,696,0.257,0.332,0.402,0.734,2016
14,LA Dodgers,162,5518,725,1375,272,21,189,2256,680,0.249,0.319,0.409,0.728,2016
15,Houston,162,5545,724,1367,291,29,198,2310,689,0.247,0.319,0.417,0.735,2016
16,Minnesota,162,5618,722,1409,288,35,200,2367,690,0.251,0.316,0.421,0.738,2016
17,LA Angels,162,5431,717,1410,279,20,156,2197,686,0.26,0.322,0.405,0.726,2016
18,Cincinnati,162,5487,716,1403,277,33,164,2238,678,0.256,0.316,0.408,0.724,2016
19,San Francisco,162,5565,715,1437,280,54,130,2215,675,0.258,0.329,0.398,0.728,2016
20,Chicago Sox,162,5550,686,1428,277,33,168,2275,656,0.257,0.317,0.41,0.727,2016
21,San Diego,162,5419,686,1275,257,26,177,2115,654,0.235,0.299,0.39,0.689,2016
22,NY Yankees,162,5458,680,1377,245,20,183,2211,647,0.252,0.314,0.405,0.72,2016
23,Kansas City,162,5552,675,1450,264,33,147,2221,640,0.261,0.312,0.4,0.712,2016
24,Tampa Bay,162,5481,672,1333,288,32,216,2333,647,0.243,0.307,0.426,0.733,2016
25,Milwaukee,162,5330,671,1299,249,19,194,2168,641,0.244,0.322,0.407,0.729,2016
26,NY Mets,162,5459,671,1342,240,19,218,2274,649,0.246,0.316,0.417,0.733,2016
27,Miami,161,5547,655,1460,259,42,128,2187,626,0.263,0.322,0.394,0.716,2016
28,Oakland,162,5500,653,1352,270,21,169,2171,634,0.246,0.304,0.395,0.699,2016
29,Atlanta,161,5514,649,1404,295,27,122,2119,615,0.255,0.321,0.384,0.705,2016
30,Philadelphia,162,5434,610,1306,231,35,161,2090,575,0.24,0.301,0.385,0.685,2016
1,Houston,162,5611,896,1581,346,20,238,2681,854,0.282,0.346,0.478,0.823,2017
2,NY Yankees,162,5594,858,1463,266,23,241,2498,821,0.262,0.339,0.447,0.785,2017
3,Colorado,162,5534,824,1510,293,38,192,2455,793,0.273,0.338,0.444,0.781,2017
4,Chicago Cubs,162,5496,822,1402,274,29,223,2403,785,0.255,0.338,0.437,0.775,2017
5,Washington,162,5553,819,1477,311,31,215,2495,796,0.266,0.332,0.449,0.782,2017
6,Cleveland,162,5511,818,1449,333,29,212,2476,780,0.263,0.339,0.449,0.788,2017
7,Minnesota,162,5557,815,1444,286,31,206,2410,781,0.26,0.334,0.434,0.768,2017
8,Arizona,162,5525,812,1405,314,39,220,2457,776,0.254,0.329,0.445,0.774,2017
9,Texas,162,5430,799,1326,255,21,237,2334,756,0.244,0.32,0.43,0.75,2017
10,Boston,162,5669,785,1461,302,19,168,2305,735,0.258,0.329,0.407,0.736,2017
11,Miami,162,5602,778,1497,271,31,194,2412,743,0.267,0.331,0.431,0.761,2017
12,LA Dodgers,162,5408,770,1347,312,20,221,2362,730,0.249,0.334,0.437,0.771,2017
13,St. Louis,162,5470,761,1402,284,28,196,2330,728,0.256,0.334,0.426,0.76,2017
14,Cincinnati,162,5484,753,1390,249,38,219,2372,715,0.253,0.329,0.433,0.761,2017
15,Seattle,162,5551,750,1436,281,17,200,2351,714,0.259,0.325,0.424,0.749,2017
16,Baltimore,162,5650,743,1469,269,12,232,2458,713,0.26,0.312,0.435,0.747,2017
17,Oakland,162,5464,739,1344,305,15,234,2381,708,0.246,0.319,0.436,0.755,2017
18,Detroit,162,5556,735,1435,289,35,187,2355,699,0.258,0.324,0.424,0.748,2017
19,NY Mets,162,5510,735,1379,286,28,224,2393,713,0.25,0.32,0.434,0.755,2017
20,Milwaukee,162,5467,732,1363,267,22,224,2346,695,0.249,0.322,0.429,0.751,2017
21,Atlanta,162,5584,732,1467,289,26,165,2303,706,0.263,0.326,0.412,0.738,2017
22,LA Angels,162,5415,710,1314,251,14,186,2151,678,0.243,0.315,0.397,0.712,2017
23,Chicago Sox,162,5513,706,1412,256,37,186,2300,670,0.256,0.314,0.417,0.731,2017
24,Kansas City,162,5536,702,1436,260,24,193,2323,660,0.259,0.311,0.42,0.731,2017
25,Tampa Bay,162,5478,694,1340,226,32,228,2314,671,0.245,0.317,0.422,0.739,2017
26,Toronto,162,5499,693,1320,269,5,222,2265,661,0.24,0.312,0.412,0.724,2017
27,Philadelphia,162,5535,690,1382,287,36,174,2263,654,0.25,0.315,0.409,0.723,2017
28,Pittsburgh,162,5458,668,1331,249,36,151,2105,635,0.244,0.318,0.386,0.704,2017
29,San Francisco,162,5551,639,1382,290,28,128,2112,612,0.249,0.309,0.38,0.689,2017
30,San Diego,162,5356,604,1251,227,31,189,2107,576,0.234,0.299,0.393,0.692,2017
1,Boston,162,5623,876,1509,355,31,208,2550,829,0.268,0.339,0.453,0.792,2018
2,NY Yankees,162,5515,851,1374,269,23,267,2490,821,0.249,0.329,0.451,0.781,2018
3,Cleveland,162,5595,818,1447,297,19,216,2430,786,0.259,0.332,0.434,0.766,2018
4,Oakland,162,5579,813,1407,322,20,227,2450,778,0.252,0.325,0.439,0.764,2018
5,LA Dodgers,163,5572,804,1394,296,33,235,2461,756,0.25,0.333,0.442,0.774,2018
6,Houston,162,5453,797,1390,278,18,205,2319,763,0.255,0.329,0.425,0.754,2018
7,Colorado,163,5541,780,1418,280,42,210,2412,748,0.256,0.322,0.435,0.757,2018
8,Washington,162,5517,771,1402,284,25,191,2309,737,0.254,0.335,0.419,0.753,2018
9,Chicago Cubs,163,5624,761,1453,286,34,167,2308,722,0.258,0.333,0.41,0.744,2018
10,Atlanta,162,5582,759,1433,314,29,175,2330,717,0.257,0.324,0.417,0.742,2018
11,St. Louis,162,5498,759,1369,248,9,205,2250,725,0.249,0.321,0.409,0.73,2018
12,Milwaukee,163,5542,754,1398,252,24,218,2352,711,0.252,0.323,0.424,0.747,2018
13,Minnesota,162,5526,738,1379,317,22,166,2238,704,0.25,0.318,0.405,0.723,2018
14,Texas,162,5453,737,1308,266,24,194,2204,696,0.24,0.318,0.404,0.722,2018
15,LA Angels,162,5472,721,1323,249,23,214,2260,690,0.242,0.313,0.413,0.726,2018
16,Tampa Bay,162,5475,716,1415,274,43,150,2225,664,0.258,0.333,0.406,0.74,2018
17,Toronto,162,5477,709,1336,320,16,217,2339,680,0.244,0.312,0.427,0.739,2018
18,Cincinnati,162,5532,696,1404,251,25,172,2221,665,0.254,0.328,0.401,0.729,2018
19,Arizona,162,5460,693,1283,259,50,176,2170,658,0.235,0.31,0.397,0.707,2018
20,Pittsburgh,161,5447,692,1381,290,38,157,2218,665,0.254,0.317,0.407,0.725,2018
21,Seattle,162,5513,677,1402,256,32,176,2250,644,0.254,0.314,0.408,0.722,2018
22,Philadelphia,162,5424,677,1270,241,30,186,2129,653,0.234,0.314,0.393,0.707,2018
23,NY Mets,162,5468,676,1282,265,34,170,2125,649,0.234,0.312,0.389,0.701,2018
24,Chicago Sox,162,5523,656,1332,259,40,182,2217,639,0.241,0.302,0.401,0.703,2018
25,Kansas City,162,5505,638,1350,283,29,155,2156,606,0.245,0.305,0.392,0.697,2018
26,Detroit,162,5494,630,1326,284,35,135,2085,597,0.241,0.3,0.38,0.68,2018
27,Baltimore,162,5507,622,1317,242,15,188,2153,593,0.239,0.298,0.391,0.689,2018
28,San Diego,162,5486,617,1289,250,30,162,2085,583,0.235,0.297,0.38,0.677,2018
29,San Francisco,162,5541,603,1324,255,30,133,2038,573,0.239,0.3,0.368,0.667,2018
30,Miami,161,5488,589,1303,222,24,128,1957,554,0.237,0.303,0.357,0.659,2018
1,NY Yankees,162,5583,943,1493,290,17,306,2735,904,0.267,0.339,0.49,0.829,2019
2,Minnesota,162,5732,939,1547,318,23,307,2832,906,0.27,0.338,0.494,0.832,2019
3,Houston,162,5613,920,1538,323,28,288,2781,891,0.274,0.352,0.495,0.848,2019
4,Boston,162,5770,901,1554,345,27,245,2688,857,0.269,0.34,0.466,0.806,2019
5,LA Dodgers,162,5493,886,1414,302,20,279,2593,861,0.257,0.338,0.472,0.81,2019
6,Washington,162,5512,873,1460,298,27,231,2505,824,0.265,0.342,0.454,0.796,2019
7,Atlanta,162,5560,855,1432,277,29,249,2514,824,0.258,0.336,0.452,0.789,2019
8,Oakland,162,5561,845,1384,292,23,257,2493,800,0.249,0.327,0.448,0.776,2019
9,Colorado,162,5660,835,1502,323,41,224,2579,803,0.265,0.326,0.456,0.782,2019
10,Chicago Cubs,162,5461,814,1378,270,26,256,2468,783,0.252,0.333,0.452,0.785,2019
11,Arizona,162,5633,813,1419,288,40,220,2447,778,0.252,0.323,0.434,0.757,2019
12,Texas,162,5540,810,1374,296,24,223,2387,765,0.248,0.319,0.431,0.75,2019
13,NY Mets,162,5624,791,1445,280,17,242,2485,767,0.257,0.328,0.442,0.77,2019
14,Philadelphia,162,5571,774,1369,311,26,215,2377,742,0.246,0.319,0.427,0.746,2019
15,LA Angels,162,5542,769,1368,268,21,220,2338,734,0.247,0.324,0.422,0.746,2019
16,Cleveland,162,5425,769,1354,286,18,223,2345,731,0.25,0.323,0.432,0.756,2019
17,Milwaukee,162,5542,769,1366,279,17,250,2429,744,0.246,0.329,0.438,0.767,2019
18,Tampa Bay,162,5628,769,1427,291,29,217,2427,730,0.254,0.325,0.431,0.757,2019
19,St. Louis,162,5449,764,1336,246,24,210,2260,714,0.245,0.324,0.415,0.739,2019
20,Seattle,162,5500,758,1305,254,28,239,2332,730,0.237,0.316,0.424,0.74,2019
21,Pittsburgh,162,5657,758,1497,315,38,163,2377,722,0.265,0.323,0.42,0.743,2019
22,Baltimore,162,5596,729,1379,252,25,213,2320,698,0.246,0.31,0.415,0.725,2019
23,Toronto,162,5493,726,1299,270,21,247,2352,697,0.236,0.305,0.428,0.733,2019
24,Chicago Sox,161,5529,708,1443,260,20,182,2289,676,0.261,0.314,0.414,0.728,2019
25,Cincinnati,162,5450,701,1328,235,27,227,2298,679,0.244,0.317,0.422,0.738,2019
26,Kansas City,162,5496,691,1356,281,40,162,2203,655,0.247,0.309,0.401,0.71,2019
27,San Diego,162,5391,682,1281,224,24,219,2210,652,0.238,0.308,0.41,0.718,2019
28,San Francisco,162,5579,678,1332,300,26,167,2185,655,0.239,0.302,0.392,0.694,2019
29,Miami,162,5512,615,1326,265,18,146,2065,593,0.241,0.298,0.375,0.673,2019
30,Detroit,161,5549,582,1333,292,41,149,2154,556,0.24,0.294,0.388,0.682,2019
